Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0300681	395.406	9.187	8.916	738.748	3.148	30.095
FBtr0084458	404.467	206.806	288.663	198.692	232.342	224.029
FBtr0346768	363	73	82	222	89	70
FBtr0086899	243.095	44	58	238.284	39	67.214
FBtr0307508	70	10	16	47	7	7
FBtr0305657	34	8	14	58	17	14
FBtr0081270	513.838	224.999	526.658	510.355	290.077	483.033
FBtr0081267	1521.419	978.294	976.146	1455.439	296.785	770.074
FBtr0081268	5082.884	1581.133	1743.286	6656.162	1808.056	1422.375
FBtr0100597	104.938	33.113	37.598	179.01	27.743	23.007
FBtr0081269	1558.921	275.461	384.312	1133.034	553.339	466.511
FBtr0331589	35	9.047	6	13	6	6
FBtr0305314	0.489	0.206	3.81	30.289	0.228	6.682
FBtr0339243	93.668	38.532	28.224	64.51	8.083	18.527
FBtr0084543	77.732	8.263	3.967	49.2	18.69	9.792
FBtr0083561	217.247	77.944	96.955	207.437	46.91	63
FBtr0334799	8.092	1.547	6.289	7.448	6.287	5.65
FBtr0089291	12.025	1.458	4.711	17.79	4.713	4.361
FBtr0076387	6	1	2	2	3	5
FBtr0071306	180.794	71.314	86.506	166.226	57.861	62.608
FBtr0273265	6	0	0	4	5	2
FBtr0300714	9.51	8.217	5.453	27.276	6.903	4.174
FBtr0300717	14.74	4.229	4.385	15.36	6.249	7.528
FBtr0332669	18.711	8.745	4.03	35.842	9.137	9.867
FBtr0332670	18.026	4.905	9.584	13.982	5.835	5.462
FBtr0300716	8.798	6.853	3.98	38.783	4.801	4.156
FBtr0300715	18.822	4.052	5.568	11.274	9.076	8.812
FBtr0072065	78.437	38.934	56.59	56.609	25	32.585
FBtr0304837	0	0	0	0	0	0
FBtr0071735	0	0	1	0	1	0
FBtr0310323	5012	1602	1454	6124	1792	1605
FBtr0303250	0.5	0	0	0	0	0
FBtr0079836	0.5	0	0	0	0	0
FBtr0077297	0	1	0	3	0	0
FBtr0300323	0	0	0	1	0	0
FBtr0330197	39.201	32.228	31.438	44.51	28.758	32.023
FBtr0110799	610.338	241.769	131.985	861.587	97.361	161.104
FBtr0330199	441.129	138.526	209.73	356.946	187.038	151.512
FBtr0330198	573.599	173.848	340.305	416.565	227.366	229.553
FBtr0079414	645.058	137.101	148.703	559.196	156.482	144.084
FBtr0079526	0	0	0	0	0	0
FBtr0111194	7	0	1	0	3	0
FBtr0079969	0	0	0	0	0	0
FBtr0086161	23.59	7.907	6.45	13.229	4.965	3.79
FBtr0086160	19.249	8.093	6.572	13.781	5.035	3.829
FBtr0081165	371.723	251.956	336.377	297.055	74.271	221.664
FBtr0081164	5503.275	2606.96	2813.492	4530.29	1982.572	2205.493
FBtr0346428	45.002	19.083	30.131	28.654	16.158	7.843
FBtr0075327	162.109	112.726	166.78	67.847	53.553	104.466
FBtr0075326	390.891	157.274	153.22	542.153	177.447	165.534
FBtr0079424	1043.61	284.205	307	817	239	271
FBtr0084405	297	112	177	278	106	119
FBtr0073193	204.837	130.253	145.65	176.369	65.99	84.138
FBtr0346806	155.632	49.949	29.615	163.709	46.467	63.16
FBtr0082153	0	0	0	0	0	0
FBtr0301744	1	0	0	2	3	0
FBtr0113177	0.077	0.805	0.04	0.059	0.059	0.042
FBtr0445839	1	0.371	0	0	1	0
FBtr0084028	315	121	155	594	212	268
FBtr0070045	518.108	66.353	66.811	165.476	42.595	64.594
FBtr0074557	496.656	329.678	367.063	643.177	104.367	123.337
FBtr0310341	32.122	34.175	21.054	26.638	6.869	10.177
FBtr0112878	153.237	38.487	40.582	1456.686	181.706	198.829
FBtr0446106	60.048	25.798	30.424	218.107	188.951	186.158
