Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0082768	1.64709e-5	0	22.0766	16.1875	11.315	0
FBtr0082770	2.24403	0.463614	0.702755	0	0.0351275	0.514712
FBtr0079321	1475.91	732.317	883.683	3085.33	1021.66	1315.25
FBtr0333351	102.089	20.6829	35.3172	46.6692	38.3409	17.7484
FBtr0072653	2.65844	5	3	7	3	3
FBtr0303156	58.2685	25.3123	30.0992	43.0517	16.9533	22.6567
FBtr0088117	1.86421	0	0	0	0	0
FBtr0113122	0	9.36532	11.891	1.90949	46.1757	33.7966
FBtr0072746	48.6548	231.391	186.191	79.751	96.4146	160.479
FBtr0072745	3673.16	1126.35	1243.31	4046.24	1226.41	1300.09
FBtr0345367	39.1838	22.89	7.60669	49.0999	0	7.63679
FBtr0084467	2758.83	1075.47	1325.04	2904	919	1004.39
FBtr0321255	24.2459	27.8951	26.1916	0	0	14.8722
FBtr0079848	6671	3102	4057	8371	3207	3754
FBtr0343016	604.28	140.425	119.902	79.5536	51.4785	67.6144
FBtr0074300	5706.88	2884.86	3494.7	6673.58	2391.76	2935.39
FBtr0082222	1	0	4	0	2	1
FBtr0310030	267.741	102.453	87.6097	310.055	142.866	76.2399
FBtr0078084	257.464	54.3691	27.7676	174.554	24.3317	10.4492
FBtr0078083	1159.79	255.178	396.623	3971.39	736.803	887.311
FBtr0071438	2236.95	1103.94	1302.42	2313.22	737.512	952.585
FBtr0343981	8.81105	1.28343	2.18653	2.1776	0	2.20714
FBtr0332896	581.05	146.774	196.098	592.048	133.488	128.926
FBtr0091758	34	0	7	18	11	3
FBtr0343752	0	0	0	0	0	0
FBtr0433526	0	0	0	16.1222	0	0
FBtr0083165	8.02178	4.00573	1	10.0281	2	3
FBtr0075496	1514.24	580.457	709.128	1303.55	493.753	568.88
FBtr0070419	0	0	0	0	0	0
FBtr0342769	799	309	328	811	304	322
FBtr0073204	7	0	0	0	0	0
FBtr0332979	0	2	2	8	2	1
FBtr0071614	996.944	457.608	494.533	1070.47	433	433
FBtr0071613	654.056	22.3923	35.4671	263.528	0	2.76232e-8
FBtr0301938	0	0	0	0	0	0
FBtr0336822	3	1	1	3	0	0
FBtr0085014	29.0126	11	7	20.0339	8	7.00856
FBtr0331295	661.527	38.0153	32.4166	1627.44	58.3066	73.5124
FBtr0085961	76024.1	22435.5	28267	88751.9	20921.9	29125.9
FBtr0345541	43.3916	34.5221	22.5919	21.6958	22.8024	11.5535
FBtr0088928	9	3	2	3	2	1
FBtr0080756	13	7.5	5.5	28.5	13	15.5
FBtr0086983	56.4476	32.4367	23.481	157.722	30.5656	75.3143
FBtr0452092	0	5	0	8	0	0
FBtr0452093	9	0	1	0	2	2
FBtr0343239	88.1931	0	0	29.3977	0	0
FBtr0077569	239.971	134.37	135	408.983	160	160
FBtr0080305	120.633	42	45	87.2656	44	27
FBtr0342594	13.3672	0	0	26.7344	0	0
FBtr0084240	3	1	1	4	0	1
FBtr0301336	495.265	101.123	103.076	332.419	86.5992	108
FBtr0334625	43.5484	5.87656	12.7736	39.3151	0	0
